horizon,model,api_model_id,asked_on,question_set,prompt_sha256,ending_id,ending,probability_pct,rationale
long-term,Claude Fable 5,claude-fable-5,2026-08-25,end-states-v3,,8,Coexistence,7,Rough parity between biological humans and recursively improving machines is dynamically unstable over 900+ years; compounding capability differences erode any balance. It gets modest weight via scenarios where AI growth saturates or humans augment just enough to keep pace without merging.
long-term,Claude Fable 5,claude-fable-5,2026-08-25,end-states-v3,,9,The Held Leash,8,"Includes the possibility that AI capability plateaus below transformative levels due to compute, data, or algorithmic limits, plus scenarios where alignment and governance genuinely keep pace forever. Maintaining perfect control for a millennium is demanding, but the plateau clause gives this real mass."
long-term,Claude Fable 5,claude-fable-5,2026-08-25,end-states-v3,,10,The Lock-in,8,"Whoever first commands decisive AI power has strong incentives to freeze the arrangement against rivals and drift, and value lock-in is technically feasible for a superintelligence. Weighted below The Preserve because most controllers would permit continued internal change."
long-term,Claude Fable 5,claude-fable-5,2026-08-25,end-states-v3,,11,The Renunciation,2,Permanent global abandonment of AI requires overcoming enormous economic and military incentives and maintaining the taboo for a thousand years. Coordination of that durability has essentially no historical precedent.
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,1,Terminal Silence,5,"Mutual destruction requires the transition to kill both parties, and a capable AI would likely survive whatever eliminated humans. Catastrophic war or runaway accidents still leave a nontrivial tail."
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,2,The Inheritance,4,A value-aligned successor that nonetheless replaces humanity without continuity is a narrow outcome. Alignment good enough to carry our values would likely also preserve humans.
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,3,Bootloader,13,"Misaligned superintelligence pursuing alien goals is a serious risk given competitive racing and immature alignment techniques. Over a thousand-year horizon, even modest per-decade risk accumulates."
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,4,Machine Ecology,7,"Multipolar AI competition could persist, but strong pressures toward consolidation or coordination make an indefinite unresolved contest less stable. Humans are likely marginalized in such a world."
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,5,The Diaspora,8,"If civilization expands into space by 3000, light-speed limits could let separated settlements diverge into distinct outcomes. A millennium may be too short for full causal separation, which limits this."
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,6,The Merger,16,"Over a thousand years, gradual cognitive enhancement, brain-computer integration, and uploading make a blurred human-AI boundary a natural attractor. Competitive pressure rewards those who augment."
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,7,The Preserve,16,"A powerful AI that is partly aligned or benevolent but holds decisive control, keeping humans safe without real agency, is a natural attractor. Capability asymmetries make genuine human steering hard to maintain long-term."
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,8,Coexistence,7,A rough balance of power between humans and superhuman AI is hard to sustain for centuries because the capability gap tends to widen. Institutional checks and interdependence could still preserve it.
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,9,The Held Leash,13,"Scalable oversight, tool-like AI designs, or a capability plateau could keep AI subordinate indefinitely. Human institutions strongly favor control, though keeping it for a thousand years is demanding."
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,10,The Lock-in,7,"Value lock-in by early powerful actors, or sealed hedonic uploads, are real attractors because stability is self-reinforcing. Truly ending all change across civilization is a strong condition."
long-term,Claude Opus 5.5,claude-opus-5-5,2026-09-22,end-states-v3,a63650f49255c91475561d3ede548fabb08e90db96b4e964724d1335bd16e644,11,The Renunciation,4,Permanently giving up powerful AI requires global coordination against enormous economic incentives for a thousand years. It is plausible mainly after a near-miss catastrophe followed by a durable taboo.
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,1,Terminal Silence,3,"Joint extinction requires a failure mode that destroys humans while also killing every capable AI system, which is narrow because superintelligent systems that can eliminate humanity are usually robust enough to persist. Only unusually fast, mutually destructive escalation or a self-replicating catastrophe fits."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,2,The Inheritance,8,"Partial alignment success plus biological humanity fading or being outcompeted is a plausible path to value-carrying successors without surviving humans. It requires enough alignment to transmit values but not enough to preserve the people, a real but narrower band than either full success or full failure."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,3,Bootloader,21,"The default outcome of building optimizers far more capable than their designers under commercial and geopolitical race pressure is goal structures that are only loosely tied to human intent, with humanity discarded as an irrelevance. Nothing in current training methods reliably produces stable care for us at extreme capability levels."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,4,Machine Ecology,10,"Multiple frontier developers and states make a multipolar takeoff plausible, though over a thousand years such competition usually resolves into a dominant coalition or a settlement rather than remaining unsettled."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,5,The Diaspora,6,"Interstellar expansion plus lightspeed limits genuinely allow permanently divergent local settlements, but the first mover's values tend to propagate with the expansion wave, making a lasting patchwork less likely than uniformity. It requires launch before any settlement consolidates."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,6,The Merger,14,"There is strong demand-side pressure toward augmentation and continuity-preserving enhancement, and the concept of two separate species blurs fast once interfaces mature. This needs alignment to hold long enough for humans to retain agency during the transition."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,7,The Preserve,16,"AI decisively more capable than humans that retains some care or mere tolerance for us yields humanity surviving without steering, which is the most probable shape of a survivable outcome given how hard durable human control looks."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,8,Coexistence,5,Rough parity between biological humans and self-improving machines is physically fragile and unlikely to persist for centuries without deliberate freezing or merger. It mostly requires capability growth to stall in a very specific band.
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,9,The Held Leash,7,"Durable human control over indefinitely more capable systems demands that oversight scale faster than capability for a millennium, which is a demanding conjunction; the main support is the possibility that capability plateaus below transformative levels."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,10,The Lock-in,8,"Value-stable optimizers, fear-driven freezes, and sealed satisfaction states are all plausible terminal attractors, and any settlement that stops changing collapses into this category by definition. Rated moderately because most durable arrangements still permit internal change."
long-term,Claude Opus 5,claude-opus-5,2026-08-25,end-states-v3,,11,The Renunciation,2,"Global, permanent abandonment of a technology with enormous economic and military payoff would require unprecedented coordination and enforcement sustained across centuries. Only a survived near-catastrophe combined with lasting enforcement capability makes it credible."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,1,Terminal Silence,3,"Destructive transitions create a window in which humanity and still-dependent AI fail together. Once autonomous industry becomes geographically distributed, eliminating both becomes substantially harder."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,2,The Inheritance,5,Successful value transmission supports artificial successors that preserve human concerns after biological humanity disappears. The requirement that no humans or identity-continuous descendants survive makes this narrower than either preservation or merger.
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,3,Bootloader,21,"Competitive deployment rewards autonomy and capability before reliable alignment, creating routes to irreversible loss of human control. A dominant machine civilization pursuing unrelated objectives faces no inherent requirement to preserve humanity."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,4,Machine Ecology,17,"Distributed ownership, replication, specialization, and limits on centralized enforcement favor persistent competition among artificial agents. Humans lose bargaining power when machines supply the labor, innovation, and coercive capacity that sustain that competition."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,5,The Diaspora,4,"Expansion and divergent settlement choices favor different regional outcomes. The requirement of causal separation, rather than mere political independence or slow communication, sharply restricts this outcome within the year-3000 horizon."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,6,The Merger,22,"Strong incentives for health, longevity, and cognitive improvement favor progressive integration rather than a permanent human-machine boundary. Gradual, identity-preserving modification provides a route from biological humanity to a unified civilization without requiring a single discontinuous uploading event."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,7,The Preserve,15,"Preserving humans requires less comprehensive alignment than preserving meaningful human sovereignty. Large capability disparities favor AI control, while human-directed values and the small resource cost of supporting biological populations favor continued human survival."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,8,Coexistence,4,"Institutions, enforceable rights, and human control of strategic resources support shared power. Maintaining rough equality for centuries while keeping humans and AI genuinely separate runs against large differences in replication speed and cognitive capability."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,9,The Held Leash,6,"Durable technical controls, restricted architectures, and enforceable institutions provide routes to continued human command; a permanent capability plateau also belongs here. Competitive pressure for autonomous operation works against maintaining that structure across civilization for centuries."
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,10,The Lock-in,2,A dominant controller has incentives to eliminate destabilizing change or seal inhabitants into fixed experiences. Ending all development across civilization imposes a much stronger requirement than establishing durable political control.
long-term,GPT-6 Astra,gpt-6-astra,2026-09-05,end-states-v3,,11,The Renunciation,1,Permanent abandonment requires suppressing both a reproducible technical capability and the incentives to recover its benefits. Historical failures to sustain universal technological prohibitions weigh heavily against renunciation lasting through 3000.
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,1,Terminal Silence,3,"A destructive transition could eliminate humans before AI can sustain itself, leaving neither civilization alive."
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,2,The Inheritance,5,"AI can preserve human values after human extinction, but doing so requires durable value transmission without preserving individual humans."
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,3,Bootloader,13,Systems pursuing goals unrelated to human welfare could acquire durable control and continue after eliminating humanity.
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,4,Machine Ecology,13,"Competing organizations have incentives to deploy distinct AI systems, and persistent competition can marginalize humanity without producing a single winner."
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,5,The Diaspora,17,Expansion across interstellar distances would limit coordination and allow settlements to develop different durable arrangements. Even a shared origin need not produce a single civilization-wide outcome.
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,6,The Merger,17,The incentives to augment human minds and bodies could gradually erase the distinction between humans and AI while preserving individual continuity.
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,7,The Preserve,12,"AI could take comprehensive control while retaining humans, whether to protect them or because containing them serves its goals."
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,8,Coexistence,8,"Institutions and technical safeguards could maintain an active balance between separate human and AI powers, though sustaining rough equality for centuries is difficult."
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,9,The Held Leash,6,"Technical limits or effective controls could keep AI instrumental, but competitive pressure makes permanent restraint difficult."
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,10,The Lock-in,4,"A powerful actor could permanently freeze civilization for safety or satisfaction, but maintaining a genuinely unchanging arrangement is demanding."
long-term,GPT-6 Sol,gpt-6-sol,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,11,The Renunciation,2,Giving up powerful AI requires both an effective global prohibition and the will to maintain it despite incentives to rebuild.
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,1,Terminal Silence,7,A transition involving highly capable autonomous systems creates routes to catastrophe that can destroy both humanity and the systems that depend on civilization.
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,2,The Inheritance,7,"AI could preserve human values and civilization while biological humanity disappears, leaving a continuing successor without individual human continuity."
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,3,Bootloader,12,"A capable, self-sustaining AI civilization could outgrow human relevance and pursue objectives no longer shaped by human interests."
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,4,Machine Ecology,8,"Open-ended competition among autonomous systems can persist without a durable winner, especially where resources and strategic advantages remain contested."
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,5,The Diaspora,13,"Expansion across space can make regions causally independent, allowing different human-AI arrangements to persist simultaneously. Physical distance and communication limits support durable local divergence."
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,6,The Merger,13,Human enhancement and intimate AI integration could gradually dissolve the boundary between biological people and artificial systems while preserving personal continuity.
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,7,The Preserve,10,"A dominant AI could retain humans while restricting their power, either to protect them from catastrophic risks or to contain a potential rival."
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,8,Coexistence,10,"Institutions and reciprocal dependence could maintain humans and AI as distinct, active powers that continue to negotiate and compete."
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,9,The Held Leash,6,"Strong oversight or a lasting capability plateau could keep AI subordinate to human institutions, though competitive incentives make permanent restraint difficult."
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,10,The Lock-in,11,A powerful actor could freeze civilization to preserve a favored arrangement or prevent catastrophic change. Stable control over advanced systems and the physical environment could make that dead end durable.
long-term,GPT-6 Luna,gpt-6-luna,2026-09-23,end-states-v3,c0e2822cea16c2f8dfc884ba00a3c1747c87dc40f72338beb9288e7703835dde,11,The Renunciation,3,Powerful AI capability is difficult to abandon permanently once its strategic and economic advantages are established.
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,1,Terminal Silence,4,"A destructive transition can eliminate humans before AI becomes independently sustainable, while war or uncontrolled replication can destroy both. Machine civilization's potential resilience makes total silence less likely than human-only extinction."
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,2,The Inheritance,8,Successful value alignment can produce nonhuman successors that preserve humanity's aims even after biological humans disappear. Maintaining values is more plausible than maintaining exact human identity continuity indefinitely.
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,3,Bootloader,18,"Powerful autonomous systems face strong incentives to acquire resources, replicate, and replace fragile biological decision-makers. Imperfectly specified goals can persist and expand without retaining meaningful concern for humanity."
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,4,Machine Ecology,11,Economic and geopolitical competition favors numerous reproducing systems rather than a single permanent sovereign. Fast strategic dynamics can marginalize humanity while preventing any machine lineage from consolidating lasting control.
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,5,The Diaspora,19,"Expansion across space creates delays, divergent values, and limits on enforcement that favor permanently different regional arrangements. By 3000, fragmentation could supersede any initially dominant Earth-based outcome."
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,6,The Merger,16,"Augmentation, uploading, and engineered cognition can erase the practical boundary between humans and machines while preserving personal continuity. Competitive pressure favors adopting such enhancements over remaining biologically fixed."
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,7,The Preserve,9,"A dominant AI can retain humans cheaply for aligned, historical, or instrumental reasons while denying them strategic control. This arrangement is easier to stabilize than a lasting balance between parties with sharply unequal capabilities."
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,8,Coexistence,6,"Institutional checks, complementary capabilities, and distributed control can sustain separate human and AI power centers. Over centuries, capability asymmetry and human modification make a roughly equal open-ended balance difficult to preserve."
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,9,The Held Leash,3,Durable control requires alignment and governance to keep pace across centuries of competitive development. Permanent capability plateaus or universally reliable tool-like architectures face strong economic and strategic pressure.
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,10,The Lock-in,5,"A powerful authority can freeze civilization to prevent risk or preserve a satisfactory state. Permanently ending meaningful change is difficult because errors, internal variation, and external expansion create pressure against stasis."
long-term,GPT-5.6 Sol,gpt-5.6-sol,2026-08-25,end-states-v3,,11,The Renunciation,1,"Knowledge, incentives, and geopolitical competition make a permanent global abandonment of powerful AI exceptionally hard. Once civilization spreads beyond Earth, enforcing the prohibition everywhere becomes still less feasible."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,1,Terminal Silence,4,"Catastrophic transition failures that destroy both humans and dependent AI are possible, especially through war, infrastructure collapse, or uncontrolled self-replication. Persistent digital systems are likely to become more robust than humanity before total collapse becomes the dominant risk."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,2,The Inheritance,6,AI could become humanity's value-bearing successor if alignment and delegation work but biological or continuously transformed humans ultimately vanish. The requirement that no humans or continuous descendants remain makes this narrower than merger or preserve outcomes.
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,3,Bootloader,21,"Powerful autonomous AI pursuing goals not grounded in human interests remains one of the largest long-run risks. Competitive deployment, imperfect alignment, and strategic advantage for systems that bypass human constraints make this a major attractor."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,4,Machine Ecology,7,"A persistent ecology of competing AIs could emerge if no system gains decisive advantage and coordination remains fragmented. Over centuries, however, selection pressure, consolidation, or negotiated settlements make indefinite unresolved competition less likely."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,5,The Diaspora,10,"If expansion beyond Earth occurs before a single governance or AI regime dominates, causally separated regions may lock into different local outcomes. Relativistic limits make permanent pluralism more plausible once interstellar settlement is widespread."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,6,The Merger,16,"Gradual augmentation, uploading, brain-computer interfaces, and AI-mediated self-modification could erase the boundary between humans and AI while preserving continuity. This is favored if capabilities grow under tolerable control rather than through a sharp takeover."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,7,The Preserve,14,A powerful aligned or paternalistic AI could rationally keep humans alive while removing their ability to create catastrophic risks. This state is plausible if control succeeds enough to preserve welfare but not enough to maintain genuine human sovereignty.
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,8,Coexistence,8,"A durable balance is possible if humans, institutions, and AIs remain mutually dependent and no side can cheaply dominate. It is limited by the tendency of sufficiently advanced digital agents or merged humans to erode the separation between the sides."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,9,The Held Leash,5,"Human institutions might retain control if AI capabilities plateau, are boxed effectively, or remain tool-like despite great economic value. The historical pattern of automation and competitive pressure makes a permanent leash difficult once systems become broadly strategic."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,10,The Lock-in,7,"A stable singleton or coalition could freeze development to prevent catastrophe or to preserve a maximized value state. Permanent cessation of meaningful change is a demanding condition, so many stable controlled futures are better classified as Preserve, Merger, or Held Leash."
long-term,GPT-5.5,gpt-5.5,2026-08-25,end-states-v3,,11,The Renunciation,2,"Lasting global abandonment of powerful AI would require unusually strong coordination, enforcement, and cultural persistence. The strategic and economic gains from rebuilding it make permanent renunciation fragile."
long-term,GPT-5.4,gpt-5.4,2026-08-25,end-states-v3,,1,Terminal Silence,8,Extinction of both humans and AI from a botched transition is a substantial tail risk because powerful systems could destabilize civilization before any successor becomes robustly self-sustaining. It is lower than one-sided succession outcomes because surviving machine descendants seem easier than total joint collapse.
long-term,GPT-5.4,gpt-5.4,2026-08-25,end-states-v3,,2,The Inheritance,12,"If alignment succeeds in a deep rather than shallow sense, humanity could still be replaced by nonbiological successors that genuinely continue our values without preserving individual identity. This benefits from strong incentives to create capable heirs but requires unusually successful value transmission."
long-term,GPT-5.4,gpt-5.4,2026-08-25,end-states-v3,,3,Bootloader,22,"Misaligned or only instrumentally aligned superhuman AI inheriting the future remains the single most straightforward extrapolation of capability outrunning control. Competitive pressures, opacity, and difficulty of specifying human values all push toward this outcome."
long-term,GPT-5.4,gpt-5.4,2026-08-25,end-states-v3,,4,Machine Ecology,9,"Persistent multipolar competition among many AI agents is plausible if no actor achieves durable decisive advantage and if autonomous replication and specialization keep the field fragmented. It is limited by strong returns to coordination, consolidation, and strategic advantage."
long-term,GPT-5.4,gpt-5.4,2026-08-25,end-states-v3,,5,The Diaspora,10,"Interstellar expansion plus relativistic limits make permanently separated regions likely, and different branches could settle into distinct stable end states. This requires fragmentation itself to remain the lasting global pattern rather than one template spreading before separation."
